onset	duration	trial_type	response_time
2.546000000000003	0.609	stim1-5	n/a
11.188	0.62	stim2-2	n/a
11.840999999999998	0.0	right	0.414
17.498	0.631	stim1-7	n/a
25.163	0.63	stim2-8	n/a
25.825	0.0	left	0.566
31.446	0.608	stim1-28	n/a
41.087	0.6	stim2-20	n/a
41.72	0.0	error	0.607
41.72	0.0	left	0.607
47.408	0.606	stim1-14	n/a
54.548	0.63	stim2-5	n/a
55.211	0.0	right	0.496
60.84700000000001	0.609	stim1-20	n/a
69.989	0.604	stim2-28	n/a
70.625	0.0	error	0.817
70.625	0.0	right	0.817
76.298	0.605	stim1-14	n/a
84.435	0.632	stim2-28	n/a
85.099	0.0	left	0.401
90.743	0.63	stim1-7	n/a
97.406	0.627	stim2-8	n/a
98.066	0.0	left	1.416
103.686	0.607	stim1-14	n/a
111.32500000000002	0.619	stim2-40	n/a
111.977	0.0	left	0.551
117.645	0.609	stim1-28	n/a
125.786	0.601	stim2-10	n/a
126.42000000000002	0.0	right	0.383
132.109	0.608	stim1-28	n/a
141.75	0.633	stim2-20	n/a
142.415	0.0	error	0.73
142.415	0.0	left	0.73
148.068	0.631	stim1-5	n/a
155.231	0.603	stim2-14	n/a
155.866	0.0	left	0.432
161.508	0.625	stim1-5	n/a
170.165	0.63	stim2-6	n/a
170.828	0.0	left	0.801
176.449	0.628	stim1-7	n/a
183.109	0.625	stim2-4	n/a
189.381	0.602	stim1-10	n/a
198.515	0.604	stim2-11	n/a
199.151	0.0	left	1.064
204.833	0.604	stim1-14	n/a
212.47	0.63	stim2-7	n/a
213.133	0.0	right	0.686
218.808	0.627	stim1-5	n/a
227.468	0.627	stim2-4	n/a
228.127	0.0	right	0.876
233.762	0.607	stim1-20	n/a
242.902	0.601	stim2-10	n/a
243.536	0.0	right	0.654
249.20800000000003	0.606	stim1-20	n/a
256.346	0.602	stim2-40	n/a
256.981	0.0	left	0.728
262.662	0.619	stim1-14	n/a
270.813	0.6	stim2-28	n/a
271.446	0.0	left	0.766
277.095	0.604	stim1-20	n/a
283.732	0.631	stim2-10	n/a
284.395	0.0	right	0.541
290.053	0.606	stim1-10	n/a
299.692	0.631	stim2-4	n/a
300.355	0.0	right	0.867
306.01	0.6	stim1-10	n/a
312.64300000000003	0.628	stim2-5	n/a
313.303	0.0	right	0.602
318.958	0.6	stim1-7	n/a
327.59000000000003	0.618	stim2-4	n/a
328.24	0.0	right	0.545
333.898	0.605	stim1-10	n/a
343.036	0.627	stim2-4	n/a
343.696	0.0	right	0.962
349.349	0.627	stim1-5	n/a
356.508	0.633	stim2-10	n/a
357.173	0.0	left	0.55
362.809	0.607	stim1-20	n/a
372.45	0.603	stim2-14	n/a
373.086	0.0	right	0.823
378.757	0.631	stim1-7	n/a
386.92	0.62	stim2-5	n/a
387.572	0.0	right	0.506
393.201	0.606	stim1-28	n/a
400.839	0.628	stim2-79	n/a
401.499	0.0	left	0.453
407.13	0.627	stim1-5	n/a
414.289	0.624	stim2-4	n/a
414.945	0.0	right	0.954
420.583	0.605	stim1-28	n/a
428.221	0.632	stim2-29	n/a
428.886	0.0	left	0.544
434.546	0.605	stim1-28	n/a
441.184	0.602	stim2-10	n/a
441.819	0.0	right	0.752
447.496	0.605	stim1-20	n/a
456.133	0.603	stim2-28	n/a
456.769	0.0	left	0.458
462.436	0.623	stim1-7	n/a
472.091	0.628	stim2-4	n/a
472.751	0.0	right	0.432
478.386	0.605	stim1-10	n/a
486.52400000000006	0.619	stim2-4	n/a
487.176	0.0	right	0.365
492.852	0.605	stim1-14	n/a
501.989	0.625	stim2-10	n/a
502.646	0.0	left	0.654
502.646	0.0	error	0.654
508.309	0.605	stim1-10	n/a
515.4459999999999	0.6	stim2-11	n/a
516.078	0.0	error	0.954
516.078	0.0	right	0.954
