onset	duration	trial_type	response_time
2.5450000000000017	0.628	stim1-5	n/a
12.206	0.627	stim2-4	n/a
12.866000000000003	0.0	right	0.533
18.486	0.605	stim1-14	n/a
27.623	0.625	stim2-7	n/a
28.281	0.0	right	0.729
33.925	0.603	stim1-14	n/a
42.06100000000001	0.634	stim2-7	n/a
42.727	0.0	right	0.652
48.370000000000005	0.608	stim1-14	n/a
55.01100000000001	0.615	stim2-5	n/a
55.658	0.0	right	0.528
61.321	0.618	stim1-5	n/a
68.471	0.604	stim2-14	n/a
69.108	0.0	left	0.525
74.771	0.605	stim1-5	n/a
83.408	0.632	stim2-7	n/a
84.072	0.0	left	0.466
89.723	0.603	stim1-10	n/a
97.359	0.601	stim2-9	n/a
97.992	0.0	left	0.529
97.992	0.0	error	0.529
103.666	0.604	stim1-14	n/a
111.30100000000002	0.615	stim2-40	n/a
111.948	0.0	left	0.558
117.62	0.609	stim1-28	n/a
125.762	0.6	stim2-20	n/a
126.395	0.0	left	1.299
126.395	0.0	error	1.299
132.055	0.607	stim1-20	n/a
141.195	0.603	stim2-10	n/a
141.83100000000002	0.0	right	0.837
147.522	0.604	stim1-5	n/a
156.159	0.601	stim2-10	n/a
156.792	0.0	left	0.482
162.48	0.603	stim1-14	n/a
169.616	0.603	stim2-5	n/a
170.251	0.0	right	0.312
175.931	0.618	stim1-7	n/a
182.581	0.631	stim2-14	n/a
183.245	0.0	left	0.606
188.9	0.608	stim1-20	n/a
198.541	0.601	stim2-19	n/a
199.174	0.0	left	0.394
199.174	0.0	error	0.394
204.833	0.603	stim1-20	n/a
214.469	0.604	stim2-28	n/a
215.106	0.0	left	0.398
220.771	0.606	stim1-7	n/a
228.409	0.632	stim2-4	n/a
229.075	0.0	right	0.382
234.728	0.606	stim1-28	n/a
241.868	0.623	stim2-79	n/a
242.523	0.0	left	0.384
248.171	0.605	stim1-20	n/a
256.809	0.616	stim2-57	n/a
257.457	0.0	left	0.459
263.13100000000003	0.608	stim1-10	n/a
271.272	0.633	stim2-5	n/a
271.937	0.0	right	0.524
277.572	0.605	stim1-28	n/a
286.71	0.614	stim2-40	n/a
287.356	0.0	left	0.491
293.019	0.623	stim1-14	n/a
299.675	0.601	stim2-7	n/a
300.309	0.0	right	0.205
305.981	0.605	stim1-20	n/a
313.619	0.6	stim2-10	n/a
314.253	0.0	right	0.306
319.927	0.605	stim1-7	n/a
329.565	0.631	stim2-4	n/a
330.228	0.0	right	0.468
335.871	0.618	stim1-5	n/a
342.521	0.6	stim2-14	n/a
343.153	0.0	left	0.514
348.805	0.611	stim1-28	n/a
357.949	0.6	stim2-10	n/a
358.582	0.0	right	0.528
364.24	0.605	stim1-10	n/a
372.378	0.63	stim2-5	n/a
373.041	0.0	right	0.234
378.707	0.6	stim1-10	n/a
387.339	0.632	stim2-9	n/a
388.005	0.0	right	0.854
393.669	0.63	stim1-7	n/a
400.831	0.632	stim2-20	n/a
401.496	0.0	left	0.426
407.132	0.605	stim1-28	n/a
415.77	0.625	stim2-79	n/a
416.427	0.0	left	0.346
422.082	0.607	stim1-10	n/a
429.721	0.601	stim2-7	n/a
430.355	0.0	right	0.865
436.014	0.607	stim1-28	n/a
443.153	0.601	stim2-20	n/a
443.786	0.0	left	0.328
443.786	0.0	error	0.328
449.448	0.608	stim1-20	n/a
457.588	0.601	stim2-19	n/a
458.222	0.0	error	0.45
458.222	0.0	left	0.45
463.914	0.601	stim1-5	n/a
473.547	0.624	stim2-4	n/a
474.203	0.0	right	0.381
479.858	0.606	stim1-7	n/a
488.996	0.634	stim2-20	n/a
489.662	0.0	left	0.525
495.294	0.606	stim1-10	n/a
501.932	0.601	stim2-14	n/a
502.566	0.0	left	0.262
508.237	0.61	stim1-7	n/a
517.379	0.631	stim2-20	n/a
518.043	0.0	left	0.41
